Timestamp,Entry_id,Temperature,PPM,Conductivity,Turbidity,Drinkability
2025-03-13 15:15:18+00:00,1,32,273.57,0.3908,2,1
2025-03-13 15:15:41+00:00,2,32,161.76,0.2311,0.43,1
2025-03-13 15:16:04+00:00,3,32,171.88,0.2455,1.57,1
2025-03-13 15:16:27+00:00,4,32,148.06,0.2115,1.14,1
2025-03-13 15:16:51+00:00,5,32,186.62,0.2666,0.14,1
2025-03-13 15:17:14+00:00,6,32,211.92,0.3027,0,1
2025-03-13 15:17:53+00:00,7,32,434.26,0.6204,7.14,0
2025-03-13 15:18:16+00:00,8,32,215.75,0.3082,4.86,1
2025-03-13 15:18:39+00:00,9,32,215.4,0.3077,5.43,0
2025-03-13 15:19:02+00:00,10,32,217.56,0.3108,0.57,1
2025-03-13 15:19:25+00:00,11,32,216.57,0.3094,4.29,1
2025-03-13 15:19:49+00:00,12,32,216.71,0.3096,0,1
2025-03-13 15:20:27+00:00,13,32,434.36,0.6205,0,0
2025-03-13 15:20:48+00:00,14,32,217.34,0.3105,1,1
2025-03-13 15:21:11+00:00,15,32,217.58,0.3108,0.57,1
2025-03-13 15:21:34+00:00,16,32,216.97,0.31,0.29,1
2025-03-13 15:21:57+00:00,17,32,217.56,0.3108,0,1
2025-03-13 15:22:21+00:00,18,32,217.48,0.3107,0,1
2025-03-13 15:22:44+00:00,19,32,217.77,0.3111,0,1
2025-03-13 15:23:07+00:00,20,32,217.44,0.3106,0,1
2025-03-13 15:23:54+00:00,21,32,216.75,0.3096,0.43,1
2025-03-13 15:24:11+00:00,22,32,217.16,0.3102,0,1
2025-03-13 15:24:28+00:00,23,32,216.57,0.3094,0.43,1
2025-03-13 15:24:45+00:00,24,32,217.53,0.3108,0,1
2025-03-13 15:25:02+00:00,25,32,215.54,0.3079,0,1
2025-03-13 15:25:18+00:00,26,32,216.01,0.3086,1,1
2025-03-13 15:25:43+00:00,27,32,172.11,0.2459,0,1
2025-03-13 15:26:01+00:00,28,32,176.8,0.2526,0,1
2025-03-13 15:26:18+00:00,29,32,171.43,0.2449,1,1
2025-03-13 15:26:34+00:00,30,32,177.09,0.253,0,1
2025-03-13 15:26:51+00:00,31,32,176.51,0.2522,5,1
2025-03-13 15:27:10+00:00,32,30.5,344.42,0.492,1,1
2025-03-13 15:27:27+00:00,33,31,344.81,0.4926,0,1
2025-03-13 15:27:44+00:00,34,31,357.7,0.511,0,0
2025-03-13 15:28:01+00:00,35,31,354.38,0.5063,0,0
2025-03-13 15:28:18+00:00,36,31.5,344.42,0.492,0,1
2025-03-13 15:28:35+00:00,37,31.5,342.66,0.4895,0,1
2025-03-13 15:28:52+00:00,38,31.5,342.08,0.4887,0,1
2025-03-13 15:29:18+00:00,39,31.81,340.71,0.4867,7,0
2025-03-13 15:29:35+00:00,40,31.81,346.96,0.4957,5,1
2025-03-13 15:29:52+00:00,41,31.87,346.57,0.4951,8,0
2025-03-13 15:30:09+00:00,42,31.81,350.67,0.501,5,0
2025-03-13 15:30:26+00:00,43,31.81,343.05,0.4901,4,1
2025-03-13 15:30:46+00:00,44,31.81,390.99,0.5586,4,0
2025-03-13 15:31:03+00:00,45,31.81,383.3,0.5476,4,0
2025-03-13 15:31:35+00:00,46,31.81,424.18,0.606,6,0
2025-03-13 15:31:52+00:00,47,31.81,542.86,0.7755,5,0
2025-03-13 15:32:08+00:00,48,31.75,478.14,0.6831,3,0
2025-03-13 15:32:25+00:00,49,31.75,156.39,0.2234,5,1
2025-03-13 15:32:42+00:00,50,31.81,156.97,0.2242,4,1
2025-03-13 15:33:00+00:00,51,31.81,41.81,0.0597,5,1
2025-03-13 15:33:17+00:00,52,31.75,39.17,0.056,5,1
2025-03-13 15:33:34+00:00,53,31.81,81.17,0.116,5,1
2025-03-13 15:33:51+00:00,54,31.75,431.01,0.6157,4,0
2025-03-13 15:34:11+00:00,55,31.75,1.86,0.0027,4,1
2025-03-13 15:34:28+00:00,56,31.81,429.55,0.6136,4,0
2025-03-13 15:34:45+00:00,57,31.75,450.79,0.644,4,0
2025-03-13 15:35:02+00:00,58,31.69,442.74,0.6325,2,0
2025-03-13 15:35:19+00:00,59,31.69,435.41,0.622,6,0
2025-03-13 15:35:36+00:00,60,31.69,443.71,0.6339,4,0
2025-03-13 15:35:53+00:00,61,31.69,441.27,0.6304,5,0
2025-03-13 15:36:09+00:00,62,31.75,434.92,0.6213,4,0
